[INFO ] 2022-03-08 14:13:44.085 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 8 at port 6674
[INFO ] 2022-03-08 14:13:44.086 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 9 at port 6675
[INFO ] 2022-03-08 14:13:44.086 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 10 at port 6676
[INFO ] 2022-03-08 14:13:44.086 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 11 at port 6677
[INFO ] 2022-03-08 14:13:44.086 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 12 at port 6678
[INFO ] 2022-03-08 14:13:44.087 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 13 at port 6679
[INFO ] 2022-03-08 14:13:44.087 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 14 at port 6680
[INFO ] 2022-03-08 14:13:44.087 [main] p.ParallelServiceReplica$RecoverThread - Recover thread ID 15 at port 6681
[INFO ] 2022-03-08 14:13:44.087 [main] p.ParallelServiceReplica - Successfully initialized 16 recover threads
[INFO ] 2022-03-08 14:13:44.090 [Thread-38] p.ParallelServiceReplica$Receiver - Started recovery of partition 2
[INFO ] 2022-03-08 14:13:44.089 [Thread-36] p.ParallelServiceReplica$Receiver - Started recovery of partition 0
[INFO ] 2022-03-08 14:13:44.090 [Thread-37] p.ParallelServiceReplica$Receiver - Started recovery of partition 1
[INFO ] 2022-03-08 14:13:44.090 [Thread-39] p.ParallelServiceReplica$Receiver - Started recovery of partition 3
[INFO ] 2022-03-08 14:13:44.090 [Thread-40] p.ParallelServiceReplica$Receiver - Started recovery of partition 4
[INFO ] 2022-03-08 14:13:44.090 [Thread-41] p.ParallelServiceReplica$Receiver - Started recovery of partition 5
[WARN ] 2022-03-08 14:13:44.091 [Thread-37] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 1 found
[WARN ] 2022-03-08 14:13:44.091 [Thread-36] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 0 found
[WARN ] 2022-03-08 14:13:44.091 [Thread-38] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 2 found
[WARN ] 2022-03-08 14:13:44.091 [Thread-40] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 4 found
[WARN ] 2022-03-08 14:13:44.091 [Thread-41] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 5 found
[INFO ] 2022-03-08 14:13:44.091 [Thread-42] p.ParallelServiceReplica$Receiver - Started recovery of partition 6
[WARN ] 2022-03-08 14:13:44.091 [Thread-39] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 3 found
[WARN ] 2022-03-08 14:13:44.091 [Thread-37] p.ParallelServiceReplica$Receiver - NO local metadata for partition 1 
[WARN ] 2022-03-08 14:13:44.091 [Thread-36] p.ParallelServiceReplica$Receiver - NO local metadata for partition 0 
[WARN ] 2022-03-08 14:13:44.091 [Thread-40] p.ParallelServiceReplica$Receiver - NO local metadata for partition 4 
[INFO ] 2022-03-08 14:13:44.091 [Thread-43] p.ParallelServiceReplica$Receiver - Started recovery of partition 7
[WARN ] 2022-03-08 14:13:44.091 [Thread-38] p.ParallelServiceReplica$Receiver - NO local metadata for partition 2 
[WARN ] 2022-03-08 14:13:44.091 [Thread-41] p.ParallelServiceReplica$Receiver - NO local metadata for partition 5 
[WARN ] 2022-03-08 14:13:44.091 [Thread-42] p.ParallelServiceReplica$Receiver - NO local checkpoint for partition 6 found
[WARN ] 2022-03-08 14:13:44.091 [Thread-39] p.ParallelServiceReplica$Receiver - NO local metadata for partition 3 
